Question,Answer
"예약한 날짜, 시간을 변경하고 싶어요.","예약한 구장의 변경 규정을 먼저 확인 후 문의해 주세요!카카오톡 검색 : FA(평일, 주말 10시 ~ 23시)- 예약 구장 :- 예약 날짜,시간 :- 예약자명 :- 변경 정보(변경하려는 일시) :"
예약 취소했는데 입금은 언제 되나요?,FA를 통한 예약 취소 시 결제 내역은 아래와 같이 처리되니 확인해 주세요!1) 신용카드 : 예약 취소 후 3~4일 이내(평일 기준)로 취소가 승인됩니다.2) 가상계좌 입금: 예약 취소 후 1~2일 이내(평일 기준)로 요청하신 계좌에 환불금이 입금 됩니다.
구장 연락처를 확인하고 싶어요.,구장 연락처는 예약이 확정되면 카카오톡으로 자동 안내 됩니다.
"공, 조끼, 풋살화 대여 가능한가요?",대여 가능한 품목 확인은 다음과 같이 가능합니다.- PC1) 사이트 접속2) 구장 선택3) 구장 정보 확인- 모바일1) 사이트 혹은 앱 접속2) 구장 선택3) 구장 사진 클릭4) 구장 정보 확인
회원 탈퇴는 어떻게 하나요?,회원탈퇴는 다음과 같이 가능합니다.- PC1) 사이트 접속2) 로그인 후 우측상단 마이페이지3) 좌측 내 정보 메뉴4) 회원탈퇴- 모바일1) 사이트 혹은 앱 접속2) 로그인 후 우측상단 메뉴버튼3) 좌측 내 정보 탭4) 회원탈퇴
연락처 변경은 어떻게 하나요?,연락처 변경은 다음과 같이 가능합니다.- PC1) 사이트 접속2) 로그인 후 우측상단 마이페이지3) 좌측 내 정보 메뉴4) 연락처 변경- 모바일1) 사이트 혹은 앱 접속2) 로그인 후 우측상단 메뉴버튼3) 좌측 내 정보 탭4) 연락처 변경
팀명 변경은 어떻게 하나요?,팀명 변경은 다음과 같이 가능합니다.- PC1) 사이트 접속2) 로그인 후 상단 팀관리3) 좌측 팀명 변경할 팀 선택4) 팀명 옆 연필모양 클릭5) 변경할 팀명 입력 후 수정 클릭- 모바일1) 사이트 혹은 앱 접속2) 로그인 후 상단 마이팀 메뉴3) 변경할 팀 선택4) 우측 팀 정보 메뉴 선택5) 변경할 팀명 입력 후 완료
아이엠그라운드에 운영중인 구장을 등록하고 싶어요.,"카카오톡 채널로 아래의 내용을 작성해서 보내주시면 확인 후 안내해 드려요 :)카카오톡 검색 : FA(평일, 주말 10시 ~ 23시)- 구장 구분 (풋살장/농구장) :- 구장 주소 :- 구장 명칭 :- 완공 여부 :- 구장 사이즈 : ( m X m )- 연락처 :"
"아이엠그라운드에 광고 및 제휴, 홍보를 할 수 있을까요?","FA, 모두의풋살(네이버 카페), 축구말고풋살(페이스북)에 광고 및 제휴, 홍보를 원하시면 아래 메일로 연락 주세요 :)문의 : reo@iamground.kr"
신청한 매치의 날짜/시간/장소를 변경하고 싶어요,신청한 매치는 변경이 불가능하며 환불규정에 맞게 취소 후 다시 신청해주셔야 합니다.
비가 내릴 경우 신청한 매치는 어떻게 되나요?,비 예보가 되어있는 경우 기상청 기준 강수량 확인 후 진행이 어렵다고 판단된다면 시작 1시간 30분 전 까지 전체공지로 취소 여부를 안내해 드립니다. 별도 공지가 없을 경우에는 정상진행 됩니다. 매치 시작 1시간 30분 이내 혹은 매치 진행중 갑자기 비가 내릴 경우 매니저 통해 현장 안내 됩니다.
